,R_scalings,Nodes per layer,seed,sigmas,Resized,Test time,rhos,_step,_timestamp,Initial transient,_wandb,_runtime,Train time,Train length,densities,Total time,Test length,Total nodes,Error,sgmds,Layers,alphas
20,0.6853730629483048,2000,7370,1.0889245647952024,14,7.363174789,1.207200413112452,1,1696843168.8869755,0,{'runtime': 96},97.9878044128418,87.582777437,60000,0.07143087301912154,94.945990208,10000,2000,0.0336,['<PyCall.jlwrap tanh>'],1,1
21,"[1.3587185565370508, 1.0700283580450671]","[2000, 2196]",8039,"[0.9005497624588564, 1.0658600989095186]",14,13.769737637,"[1.0353841441727076, 1.3216716135069375]",1,1696843058.8461926,0,{'runtime': 151},152.72068858146667,133.769197325,60000,"[0.04464107761694684, 0.020961959483507712]",147.538974327,10000,4196,0.0324,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",2,"[1, 1]"
22,"[1.0607712978399433, 1.455756110228494, 0.593582902740062]","[2000, 2196, 2392]",5855,"[1.21329420880463, 0.5531751369622647, 1.3365044253480067]",14,21.640858128,"[1.0736198287225425, 0.716831060028066, 1.4518509449777977]",1,1696842893.901101,0,{'runtime': 219},220.9583261013031,190.822447556,60000,"[0.07093714275420779, 0.1338076422761425, 0.1905169142705468]",212.46337847,10000,6588,0.0355,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",3,"[1, 1, 1]"
23,"[1.468085908202931, 0.5774573399050361, 0.9271469158162976, 0.85757798861444]","[2000, 2196, 2392, 2588]",7269,"[1.4657862198916878, 0.5910441534970297, 0.5818682421150765, 0.8585543922495819]",14,34.808327055,"[0.5375759008337379, 0.8599033686193067, 0.962977813990856, 0.638123627139217]",1,1696842662.3628929,0,{'runtime': 317},318.47771096229553,271.532002928,60000,"[0.07036314375685987, 0.12077210786732363, 0.13914034510474263, 0.11543289387808477]",306.340401296,10000,9176,0.0382,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",4,"[1, 1, 1, 1]"
24,"[0.9374499360310324, 0.8080041674748989, 0.8149711344092959, 0.9213229881364376, 1.3796254717838463]","[2000, 2196, 2392, 2588, 2784]",1056,"[1.211145018940654, 0.5236023110117203, 1.0824394334603626, 0.5185112055445358, 0.5449236206881966]",14,44.457666782,"[1.402319880222608, 1.0054198272712664, 0.8572675720459555, 0.67259223552639, 1.048589967390462]",1,1696842331.72902,0,{'runtime': 411},412.8742980957031,352.018424898,60000,"[0.18826729434994047, 0.09585738636892964, 0.01929455908175583, 0.05902724811954583, 0.06619510635037121]",396.476136094,10000,11960,0.0371,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",5,"[1, 1, 1, 1, 1]"
25,"[0.6192988372195652, 1.2471511174110947, 1.379377071419486, 1.126674125521687, 0.6782656904391652, 1.3915563341219142]","[2000, 2196, 2392, 2588, 2784, 2980]",510,"[0.9878615983746444, 1.1641222220987777, 0.9137404199131252, 0.9995635469756556, 1.4535745082543654, 0.6851786803274781]",14,54.370084807,"[0.572040581385185, 0.9281552380915168, 1.2408784828421142, 1.497625095592368, 1.435782877003278, 1.4864908940634998]",1,1696841901.6081438,0,{'runtime': 503},504.22904872894287,427.725964173,60000,"[0.026308657594644826, 0.07072195247901053, 0.060952678866318555, 0.1997933210105855, 0.101006682627745, 0.017393933264995394]",482.096089736,10000,14940,0.0367,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",6,"[1, 1, 1, 1, 1, 1]"
26,"[1.3894334182020551, 0.6659805681688056, 0.8697271016786576, 0.662313593772075, 1.1526248459628143, 1.0007604124180434, 1.447282242617196]","[2000, 2196, 2392, 2588, 2784, 2980, 3176]",9749,"[1.0794288465171378, 1.366232084849379, 1.2496578634055029, 1.330608512017107, 1.0777788438331457, 0.582534468542057, 1.2140819852357407]",14,64.319245726,"[0.8368097101228541, 1.022909165740555, 0.609558683128346, 0.6828842877708559, 0.6611342835162997, 0.9181016114879996, 0.6652648709551798]",1,1696841386.1974769,0,{'runtime': 581},582.4780988693237,485.960655085,60000,"[0.07834292960148417, 0.11197215798765556, 0.11382286316984812, 0.05421055372047011, 0.1115171540317628, 0.08633733561677957, 0.04420876314453633]",550.279960502,10000,18116,0.0385,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",7,"[1, 1, 1, 1, 1, 1, 1]"
27,"[1.1335791215932018, 1.177718598447921, 1.475760718837107, 1.4089557636624273, 0.8971242328036264, 0.7467217834617004, 0.8372751414132112, 1.4549119989582189]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372]",1748,"[0.7297485091338993, 1.4836168888164578, 0.9618731195132316, 0.7817747891675285, 1.044093691446949, 1.427752000908333, 1.3445508557523045, 0.5978306086090537]",14,72.058882972,"[1.0803261724084656, 1.2601264241957386, 0.6756889551754276, 0.7132010370442841, 0.9657438398709264, 0.5957258142377828, 1.3522882388412496, 0.5770873611022718]",1,1696840792.329062,0,{'runtime': 683},684.7952880859375,572.910371146,60000,"[0.05618990449579164, 0.15091853661037172, 0.1362297483665159, 0.12702940924005882, 0.11960692692683418, 0.05837972908098905, 0.139228258400748, 0.08896463574072518]",644.969321944,10000,21488,0.0354,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",8,"[1, 1, 1, 1, 1, 1, 1, 1]"
28,"[0.8927156693443803, 1.2285337315386675, 1.052128481703663, 1.194440126851192, 0.9167525406497278, 1.389167342404708, 0.7539677335713155, 0.5135558689241592, 0.5900397018683671]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372, 3568]",1573,"[1.1526258086909478, 0.586704979743649, 1.3860496297591025, 0.711934777174943, 0.8007779597208986, 0.5085107466678254, 0.8127575875939257, 0.5024437966956432, 1.2278945733032431]",14,85.423885279,"[0.7445395947378739, 1.251304534631479, 0.6324994478280913, 1.277879866384327, 1.1212733474854135, 0.9511117990616312, 0.5980566426026432, 0.5846007886916997, 0.978534968911579]",1,1696840096.570552,0,{'runtime': 825},826.207035779953,681.845733401,60000,"[0.108184832533648, 0.18018239042647688, 0.1701926049612805, 0.19945856164235976, 0.17053269913720193, 0.1973358323716993, 0.14142286616717686, 0.011397911917357027, 0.14947742464453223]",767.269672823,10000,25056,0.0379,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]"
29,"[0.6388444887857092, 0.7254703523643302, 0.986416653665282, 1.401174598259611, 0.912902899160576, 0.9440365963158878, 1.3413411568924474, 0.6305841603277664, 0.6524938857531599, 1.2886107878110271]","[2000, 2196, 2392, 2588, 2784, 2980, 3176, 3372, 3568, 3764]",4604,"[0.7281851737955162, 0.8056075127756879, 0.9608363473982916, 1.013559397388196, 1.2651389589133957, 0.5141243179049756, 1.169919968999496, 1.2871525795192087, 0.8351325876128282, 0.6265367782669103]",14,98.847951224,"[0.7481748987493232, 1.3035396556229446, 0.6458263951635727, 0.9955224685710282, 1.1653962320068896, 0.6739088163652416, 1.0205975429001155, 1.3485342834046457, 1.1457088107410314, 0.8989017544425899]",1,1696839258.5326233,0,{'runtime': 939},940.4450972080232,779.453641623,60000,"[0.13510912998857033, 0.038878003011152455, 0.12213804558665424, 0.07286784889547596, 0.0660961913862623, 0.17838991111572872, 0.1245053656583108, 0.13918894414539115, 0.019237439070851493, 0.19350048272953957]",878.30163194,10000,28820,0.0348,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
30,1.2092532629979127,2000,1657,1.269947761801148,14,7.431385927,1.1012173649053143,1,1696838305.4703844,0,{'runtime': 96},97.9855604171753,87.32420631,60000,0.06553789361962586,94.755628926,10000,2000,0.0342,['<PyCall.jlwrap tanh>'],1,1
31,"[1.2594473079394597, 1.313566950849413]","[2000, 2196]",8055,"[1.0197725493291818, 0.535096495985775]",14,13.627612189,"[1.0379300953475483, 0.985128998329057]",1,1696838195.5658035,0,{'runtime': 151},152.97322845458984,133.839856523,60000,"[0.0935699792348568, 0.1539497685473486]",147.467506793,10000,4196,0.0337,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",2,"[1, 1]"
32,"[0.8421101920383569, 1.0253069509426662, 1.3781887898836684]","[2000, 2196, 2392]",1768,"[1.4600479003773992, 1.0341246056234032, 1.2230735969869029]",14,21.661952891,"[1.3066739856902818, 0.8121717391606073, 1.02605368866652]",1,1696838031.101231,0,{'runtime': 220},222.18344712257385,192.101679879,60000,"[0.16336300298233963, 0.11698484339990108, 0.09496589598216766]",213.763674798,10000,6588,0.0394,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",3,"[1, 1, 1]"
