,Layers,alphas,sigmas,densities,Total nodes,Train length,rhos,seed,Nodes per layer,Initial transient,R_scalings,Train time,Error,_runtime,_wandb,Total time,_step,sgmds,_timestamp,Test length,Resized,Test time
20,1,1,1.3610739426890568,0.09700995748930712,2000,60000,0.533695356550944,7714,2000,0,1.495216934786892,88.399862133,0.0341,100.19340777397156,{'runtime': 98},96.23807062,1,['<PyCall.jlwrap tanh>'],1696877167.8189728,10000,14,7.838164964
21,2,"[1, 1]","[0.5886744893903418, 1.1784906055415283]","[0.01571880971484415, 0.194402750609484]",4000,60000,"[1.3406276949040143, 1.1071906526382196]",2942,"[2000, 2000]",0,"[1.4562094724861545, 0.9550048784204968]",115.787909762,0.0437,135.6634612083435,{'runtime': 133},128.227642397,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696877062.8388922,10000,14,12.43968814
22,3,"[1, 1, 1]","[0.9651406227031588, 0.9028085980848588, 0.9354514111079456]","[0.1159864099337946, 0.04807927468367296, 0.11225123724230995]",6000,60000,"[1.229876999468044, 1.2931738181184875, 1.302006901333386]",6303,"[2000, 2000, 2000]",0,"[0.7166333796234433, 0.937367607954002, 1.247182203470906]",143.346206113,0.0634,169.99099135398865,{'runtime': 168},160.453525383,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696876922.4300914,10000,14,17.107273592
23,4,"[1, 1, 1, 1]","[0.982396464568296, 0.5569130504957898, 1.4147483148956326, 1.1675767093405165]","[0.07838044849749616, 0.1935318003397933, 0.06689568589965053, 0.11473626733393366]",8000,60000,"[1.2920862053847646, 1.3737198470808525, 0.938783797380765, 1.4538365629279912]",5617,"[2000, 2000, 2000, 2000]",0,"[0.960529601566385, 1.193890170383218, 1.192593319609858, 1.2670185149993831]",172.883728162,0.076,207.8098759651184,{'runtime': 206},195.204742398,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696876747.49865,10000,14,22.320944793
24,5,"[1, 1, 1, 1, 1]","[0.8732782632251966, 1.2507796556253623, 1.391758849890671, 1.4418627620240727, 1.0370180350970877]","[0.02676641261770856, 0.11265710797755116, 0.12625500769450146, 0.07981444672308952, 0.12878201835510825]",10000,60000,"[1.157526657706259, 1.074782960148951, 1.288575619784365, 1.287568370905291, 0.6543854413883595]",5704,"[2000, 2000, 2000, 2000, 2000]",0,"[0.5482210032117941, 0.9301044894622392, 1.0681087287311963, 0.6402162915786583, 0.9168807287007888]",205.998007639,0.0963,249.56214785575867,{'runtime': 248},235.075581837,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696876535.61267,10000,14,29.077528029
25,6,"[1, 1, 1, 1, 1, 1]","[0.9561421935183988, 1.025945220333801, 1.294350012210823, 1.3640074125900163, 0.8225884352095284, 0.9787094692158964]","[0.07626824212789306, 0.10405082194444584, 0.17987069298879346, 0.13040160388626434, 0.06415722912341473, 0.13029345317663485]",12000,60000,"[0.6649162741400078, 1.193270599990015, 1.1756223947884226, 0.5016737622493164, 0.9079620275775664, 1.1783713125509436]",6138,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.5388272818635125, 1.4806831571451542, 1.4857005397587344, 1.4292294945838262, 0.6212804475217687, 0.6950471414315985]",235.796563363,0.1111,288.82822585105896,{'runtime': 287},271.618893388,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696876279.884374,10000,14,35.822281613
26,7,"[1, 1, 1, 1, 1, 1, 1]","[1.1177996457647286, 0.8887907826941841, 1.318351862479021, 1.4679269756376194, 1.2403998216598164, 0.7839286119402742, 1.313653028047025]","[0.01518579433088612, 0.18901577283364784, 0.13087811265364274, 0.15897634223763762, 0.06399718731184645, 0.17425768391389906, 0.141880951502607]",14000,60000,"[1.0595694407921457, 0.5539867519602552, 1.2271922514214313, 1.3457329896258057, 0.9590813070493496, 0.7071693225601794, 1.458109194293009]",5844,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.3198861018657635, 0.9403769542831638, 0.7882023495557573, 0.6181675166561552, 0.7490179432042186, 0.7648926623731015, 1.485321006774413]",278.201110487,0.1204,337.672016620636,{'runtime': 336},319.862790255,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696875987.0307295,10000,14,41.66163322
27,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[1.092944659556476, 1.4283939394442209, 1.055657338926585, 1.3104471476197213, 0.5740503656596728, 0.8127158841283594, 0.8237465153400213, 1.4133948321523169]","[0.10383213935267462, 0.03907384875026524, 0.13257276682595032, 0.15745533634086176, 0.16726930830670195, 0.1184447145218897, 0.03836624908727308, 0.14111783887723875]",16000,60000,"[1.2418024303439728, 0.8210769030698425, 0.7916863463872542, 0.554387817762059, 1.4557561976140927, 0.7249234203495738, 0.7569195579050101, 1.1265159509256044]",7270,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.9413074788403764, 1.1967628438095717, 0.7902237468416414, 0.6391948739520765, 1.1808153928889702, 0.6752765269133952, 1.0987310131109638, 1.289006272238049]",315.516040475,0.1244,381.4292776584625,{'runtime': 380},362.880351136,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696875644.9857426,10000,14,47.364237422
28,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.3194674533721296, 0.8008041155093666, 1.3897280131702772, 1.2564872423702436, 1.1920654825976356, 1.4782834525653468, 0.9966154438514871, 0.5292658736737883, 0.8514712853745405]","[0.1481926449838768, 0.12201146565103244, 0.10057633768469626, 0.048120157029997494, 0.03312053402394739, 0.1258484888212704, 0.19658726954604228, 0.10073689841434344, 0.19797025340265195]",18000,60000,"[0.8705801894656173, 0.7830778399982697, 1.3830563163974583, 0.8620890959420916, 1.3849792016685625, 0.7535434855568939, 0.549532632455472, 1.1487559936009046, 0.7561364066186632]",9039,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.325457751389746, 0.976099872345894, 1.455100192562818, 0.837301268994291, 0.7947947376450318, 0.5206022179110986, 0.908231829541298, 0.915176312300574, 0.8870221376429505]",346.052172039,0.1285,419.3278636932373,{'runtime': 418},398.3911307,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696875258.9674995,10000,14,52.338886315
29,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.0422966604049273, 1.336806316342404, 1.3075362539102169, 0.986874332229406, 1.3402753024071627, 1.2537120930079937, 0.9960685707722798, 0.9091428373124812, 1.318386909045429, 0.8395717357894333]","[0.1545835370176521, 0.028140623313120505, 0.08400161083367816, 0.12494862726490572, 0.12961701092129846, 0.05477903851689215, 0.16275774648181193, 0.11552847139308592, 0.07318062891658761, 0.08426766015060488]",20000,60000,"[0.7025775146522688, 0.7981111190073588, 0.5939902341025587, 1.0431159287873033, 0.902870510545945, 1.463868293900563, 1.496481708263791, 1.1542061574282103, 1.0462679429884338, 1.4355516913089756]",4403,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.5245602309138606, 0.759268876786888, 1.1196156051256976, 0.5787421301037509, 1.0202539703085267, 0.811329486695092, 0.7029431595635828, 1.0356921771729537, 0.6057385247405119, 0.584154699637022]",372.914602677,0.131,451.30689454078674,{'runtime': 450},428.82558397,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696874835.5109994,10000,14,55.910938252
30,1,1,1.0524648403521222,0.08467523262289976,2000,60000,1.176096922555829,2858,2000,0,0.8464093352551842,87.836542166,0.0338,98.57550263404846,{'runtime': 97},95.396300744,1,['<PyCall.jlwrap tanh>'],1696872444.4573646,10000,14,7.55970691
31,2,"[1, 1]","[1.0763977986823503, 1.0326078625893]","[0.10448777772886526, 0.11997823717413036]",4000,60000,"[1.487219315645071, 1.4943360976899118]",7090,"[2000, 2000]",0,"[1.0454422138132942, 0.6185323416399146]",115.375569908,0.0472,132.6150803565979,{'runtime': 131},127.57262985,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696872341.6628633,10000,14,12.197017
32,3,"[1, 1, 1]","[0.5169704956262328, 0.8685106201121232, 0.9650616852805964]","[0.06825965773786377, 0.040819158890296615, 0.06551226238166051]",6000,60000,"[1.2400454265656848, 1.0721179682653723, 1.072344521286662]",2005,"[2000, 2000, 2000]",0,"[0.5716467973899814, 0.5010686831393778, 0.5664191356488273]",142.578351796,0.0616,166.19943475723267,{'runtime': 164},159.461027019,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696872200.154749,10000,14,16.882632923
