,Layers,alphas,sigmas,densities,Total nodes,Train length,rhos,seed,Nodes per layer,Initial transient,R_scalings,Train time,Error,_runtime,_wandb,Total time,_step,sgmds,_timestamp,Test length,Resized,Test time
65,6,"[1, 1, 1, 1, 1, 1]","[0.9200136688578804, 0.9084051143131484, 0.7822771661965744, 0.9259437895039772, 1.0691470450610128, 0.608299448734163]","[0.15789818651373447, 0.09759781360686146, 0.12035901626724414, 0.07484351086979434, 0.058917264758105825, 0.1437601734962497]",12000,60000,"[0.857563658696775, 0.5153844560612815, 0.8631942684211706, 0.6776578001298472, 1.0737523226665195, 0.5568253426825747]",6301,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.6131740252277386, 1.056160586050349, 0.5685955485522273, 0.9612067430996928, 1.1477334934022534, 0.9002986468647299]",233.038928912,0.1044,279.91591119766235,{'runtime': 278},267.24888082,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696489700.7658231,10000,14,34.209910491
66,7,"[1, 1, 1, 1, 1, 1, 1]","[0.8977188524326536, 0.9391951024121464, 0.769882635935136, 0.6002483386775739, 1.1798480786369403, 1.1710053591666876, 0.6870385015969823]","[0.1857650574699691, 0.02489923230926468, 0.11044011818581466, 0.05852224248193811, 0.06142342211075631, 0.15742247539370102, 0.1660271559602502]",14000,60000,"[0.7561799361049827, 0.8571015469443739, 1.2543926373064962, 1.177825825772473, 0.5704954652989168, 1.0697654213999277, 0.6225485448505145]",1584,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.2530645942525402, 1.1423849541331412, 1.2587959081710665, 1.3204158195345486, 0.7614671069623025, 0.6077269910958014, 0.9520392847372664]",266.89486674,0.1156,322.5746567249298,{'runtime': 320},305.969826851,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696489409.9244788,10000,14,39.074916569
67,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[0.9171775185820242, 1.399115562488059, 1.2029429067949235, 0.9198284344120874, 0.5968385435185487, 1.0504017231192393, 1.05991877207699, 1.0923430837643429]","[0.01454499985555276, 0.011253137395589047, 0.03153158162203556, 0.13981394230874558, 0.04165002695038825, 0.06267949749779511, 0.04789829683694146, 0.034735493033945006]",16000,60000,"[0.8933054577402683, 0.7111475945543592, 1.2895376045686104, 0.6621542343727566, 0.9324822493067438, 0.8584344774537167, 1.3716397430928278, 0.9728800295545978]",2753,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.7297797219288688, 0.6891956423512334, 1.0707310779862458, 0.5680759394692801, 1.4338241697623575, 0.6194267897907954, 1.095730281546562, 0.8526717770520211]",304.300862937,0.1248,364.6107876300812,{'runtime': 363},348.447380484,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696489075.6002986,10000,14,44.14647101
68,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.2242838822357442, 0.6032028463359195, 0.8577007976773912, 1.3897443163190404, 1.3448630681941809, 0.7914489117285396, 0.5043191026776205, 0.8889511765944199, 1.0455970123159015]","[0.19938798940271457, 0.016909096513215944, 0.1043877455315732, 0.12948401880520524, 0.04931258249477984, 0.02593321677839027, 0.05775817875850556, 0.067055002950489, 0.07479072347370731]",18000,60000,"[1.2420742822933564, 0.8897189624021345, 0.5623002944712839, 1.4264932084488475, 1.102076829280394, 0.6695567662899151, 1.0427874353187936, 0.5473905051323111, 0.7042646626157532]",6581,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.7457109983649016, 0.8210841988091521, 1.3177989481532162, 1.269115938516892, 0.925775175868798, 1.0837426204860658, 0.6971794459125327, 0.9639637838279494, 1.4171675821823293]",321.370654566,0.1302,388.91108751297,{'runtime': 387},371.43562947,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696488700.4931595,10000,14,50.064918287
69,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.1342475302337065, 1.4515505497330814, 0.5614206209612884, 0.5409099447051523, 0.6582395580340533, 0.8982119017443326, 1.4169861735624107, 0.913169362350825, 1.461738183618272, 0.6044036807730698]","[0.014292601567035075, 0.137014767420002, 0.05249167872870326, 0.15690517478557892, 0.19107788932143796, 0.0993849039825568, 0.16809366084495692, 0.14673172523464947, 0.12425887749849952, 0.17196017237999223]",20000,60000,"[0.6942590940088442, 0.7608836559187964, 1.363556952835924, 1.1624358166100448, 0.7030665840424523, 1.2506406104440355, 0.5036522661652323, 0.955029650614369, 0.7898935547442093, 1.1924468009372309]",8058,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.6665604464426186, 1.480698854895658, 0.5041371158962863, 0.9267532956118898, 0.784058151380858, 0.9325012783042672, 0.806006090041686, 0.9586750568877443, 0.5754457996503984, 0.5024573089104406]",361.940569283,0.1295,436.7723591327667,{'runtime': 435},416.057421558,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696488300.301237,10000,14,54.116799557
70,1,1,1.0662578690606646,0.04713870991903646,2000,60000,0.66362447459627,5290,2000,0,0.8373239670649677,87.504704714,0.0341,98.00266623497008,{'runtime': 96},94.977938959,1,['<PyCall.jlwrap tanh>'],1696487853.2141163,10000,14,7.473186565
71,2,"[1, 1]","[1.0707060501397971, 1.1577779744308565]","[0.09062203391754912, 0.05455095963687364]",4000,60000,"[1.4487310371295017, 1.4283425124296052]",9297,"[2000, 2000]",0,"[0.9567978072368872, 1.3081722308660158]",114.206374019,0.0483,130.81973123550415,{'runtime': 129},125.944571458,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696487744.4986362,10000,14,11.738051976
72,3,"[1, 1, 1]","[0.9586253466784834, 1.4450368535368068, 1.3365989933324414]","[0.13347765980746715, 0.1679292809099084, 0.027391525193243775]",6000,60000,"[0.986548767423418, 0.9737433449875412, 0.8590333023977259]",3514,"[2000, 2000, 2000]",0,"[0.598131142214446, 1.08713751123352, 1.0906217125901525]",150.487025898,0.0632,181.28460907936096,{'runtime': 180},167.100701265,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696487603.165435,10000,14,16.613597751
73,4,"[1, 1, 1, 1]","[0.7976738323114374, 1.3480991940416214, 0.5928392701949733, 0.8224812313320133]","[0.13147633599495442, 0.1535225934239803, 0.18483260736450868, 0.17378230770807687]",8000,60000,"[0.5243379019060813, 0.6328787509577847, 1.0063635018070785, 0.980371409488409]",1050,"[2000, 2000, 2000, 2000]",0,"[0.7909813612577689, 0.8289343569983838, 1.316575876841418, 1.493340490154741]",171.053149718,0.0803,202.2899475097656,{'runtime': 200},193.04135181,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696487411.2058723,10000,14,21.988158551
74,5,"[1, 1, 1, 1, 1]","[1.45502673290102, 0.5521831871646161, 1.4033656950365485, 0.9579041825781712, 0.8948260572837857]","[0.07301349152717482, 0.14517542005895437, 0.011189592711201074, 0.1856825354570713, 0.05541593165155871]",10000,60000,"[0.5289502135167218, 1.2894139951820716, 0.8676679357364825, 0.5157079320674823, 0.9651359009266408]",1619,"[2000, 2000, 2000, 2000, 2000]",0,"[0.5728229062756587, 0.6523346127763955, 0.6400734850244661, 1.005572710170322, 1.3616119122656896]",211.334421733,0.095,251.17901515960693,{'runtime': 250},239.836870448,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696487198.461059,10000,14,28.502404814
75,6,"[1, 1, 1, 1, 1, 1]","[0.7091774626029088, 0.7527895540633126, 0.9513230368882276, 0.6020128401698421, 0.9089828848644822, 0.9153299106168832]","[0.1968855053360177, 0.04754519631020382, 0.019609538915970406, 0.18214792175391736, 0.13037905753116472, 0.03507953422476676]",12000,60000,"[0.6124887140172289, 1.204410233665145, 1.1651946856349855, 1.489135075662805, 0.5247299045683076, 1.0970715665414166]",5630,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.3076283826339403, 0.7343458391277496, 1.2432179974988773, 1.101903062843237, 0.5513531785040602, 0.5005339780799932]",306.894343564,0.1055,360.4991807937622,{'runtime': 359},342.292148719,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696486934.5627658,10000,14,35.397707511
76,7,"[1, 1, 1, 1, 1, 1, 1]","[1.151198322521589, 0.8101565345916356, 1.4752447656714711, 0.5056437625121767, 0.9163570939627914, 0.8586084558745528, 1.0737110654272155]","[0.08391869172980142, 0.01781677059834883, 0.14905135526852012, 0.08470629293962474, 0.04746684486542277, 0.16759389198970537, 0.055063502734263615]",14000,60000,"[1.1280300551644626, 1.3276900109198722, 1.1128521808723653, 1.0180536374202416, 0.8373203118313489, 1.1138680866099235, 1.4264091229499538]",1520,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.3143699682526342, 0.6520312572843736, 0.9064789974504648, 1.0807884963190462, 0.6789864505015744, 1.3636407995686342, 1.1313672119056108]",344.119091657,0.1161,420.2351253032684,{'runtime': 418},398.781711689,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696486562.1555994,10000,14,54.662577252
77,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[0.6336531446679431, 1.4624706284090334, 1.075301279715981, 1.152238649639016, 1.2994443786021268, 1.043721992394144, 1.3004190897525212, 0.5895550209394191]","[0.04247387827385271, 0.14317430556754862, 0.1309224894016922, 0.15818845890778993, 0.010846482079366587, 0.06379598623951323, 0.07432467214710971, 0.13993281885576575]",16000,60000,"[1.233653207382294, 0.8173945275293594, 0.6323035786336094, 1.2683664691333791, 1.3640055732738114, 0.5637980087775332, 1.1536516440934577, 1.141519943431446]",4999,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.3774715005602312, 1.013808495221188, 0.6762608737766602, 0.7375175502029442, 1.4706797132034215, 0.6558581344966404, 1.257711592157689, 1.014944607308938]",363.87606975,0.1215,443.9823887348175,{'runtime': 442},421.59260408,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696486130.2298207,10000,14,57.716485849
78,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.5366413561758876, 1.3877892322289918, 1.336136276482449, 0.5848287154944941, 1.1529247339287965, 0.7632693449127564, 0.5565581339175049, 0.5562789422783515, 0.8109473008326415]","[0.07873905834177915, 0.06792892972622015, 0.14018738829990204, 0.12340285337375329, 0.09127167462589553, 0.19005198610038235, 0.1904291767078587, 0.13627769546165774, 0.17985071146110457]",18000,60000,"[0.9712917765923932, 0.7473130183941892, 0.8184554244606866, 1.1414324996430971, 1.2236693608621771, 1.4352506242830794, 1.1852368106761904, 0.8040256778686433, 1.3879194650418971]",189,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.051166158877236, 1.346984399269886, 1.226909380869461, 0.8427736507432272, 0.6947087936235294, 0.557164879026365, 0.8809802819487302, 0.7692121057102028, 0.5335853001577325]",385.250534597,0.1258,471.8541512489319,{'runtime': 470},445.487244267,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696485673.14389,10000,14,60.236660187
79,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[1.4951736460676055, 0.8719232998209143, 0.6638503284397439, 1.0890827513543748, 1.2613879280064406, 0.7336942247913785, 1.1815704875160549, 0.7917731948462009, 0.7899117000307717, 0.9231884401118564]","[0.19486970056109107, 0.14036242932342655, 0.04885242035541597, 0.10341572022310364, 0.02082118475715309, 0.06059774027662192, 0.16653661396032662, 0.13739802127972509, 0.1687235379411679, 0.11732565193428028]",20000,60000,"[1.0102405621512345, 1.1995997922562829, 1.1611313569740904, 1.1130176873194104, 1.1127118083591845, 1.3854907879244864, 1.3035697730965494, 1.397891500047561, 0.6607174158257377, 0.6720270546195726]",3758,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.2122694561466316, 0.5737553078589097, 1.0278011740297566, 0.8075715754842162, 1.3260414229396735, 0.6687682731098097, 1.1181616837965034, 0.9086700100126364, 1.4671299767509578, 0.5521713160386436]",442.730920993,0.13,543.550371170044,{'runtime': 542},509.287420811,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696485189.3324971,10000,14,66.426071592
80,1,1,1.1222459107722325,0.18666478564824737,2000,60000,0.6120908570346607,339,2000,0,0.884709871012365,94.420259742,0.0349,108.4612271785736,{'runtime': 107},103.120098218,1,['<PyCall.jlwrap tanh>'],1696447443.663298,10000,14,8.699731684
81,2,"[1, 1]","[1.0965580953269054, 0.92884521914074]","[0.1549599497844996, 0.05978199249616648]",4000,60000,"[1.497250977466978, 1.0702510935978438]",1774,"[2000, 2000]",0,"[0.6691791837776367, 1.0994235564729748]",140.128513875,0.0471,168.29563784599304,{'runtime': 165},157.508489199,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696447329.6940289,10000,14,17.379909018
82,3,"[1, 1, 1]","[0.7007098460512508, 1.2104954329860336, 1.4633528052838018]","[0.02754178758504517, 0.09395562659458814, 0.12897189921466976]",6000,60000,"[0.5055648604755977, 1.3947554581686537, 0.8999296944450265]",4158,"[2000, 2000, 2000]",0,"[0.8466658730160199, 1.1343835575400838, 0.7575475853922821]",179.733337626,0.0625,217.2760763168335,{'runtime': 216},204.105515239,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696447156.5018473,10000,14,24.372079357
83,4,"[1, 1, 1, 1]","[1.4638919320415202, 0.5484457605855619, 0.9447974793976814, 1.4537149567528571]","[0.07621180225818387, 0.14211258664969242, 0.11799620386734344, 0.19482696249483847]",8000,60000,"[1.375487014634842, 0.5910446062440234, 1.4770614769736503, 1.1155395735868587]",2448,"[2000, 2000, 2000, 2000]",0,"[0.6214314527117005, 0.709984929192528, 0.9773819380641088, 0.8002653962476267]",217.50825587,0.0804,260.4629476070404,{'runtime': 259},248.790202513,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696446934.4871123,10000,14,31.281873845
84,5,"[1, 1, 1, 1, 1]","[1.1477785474052882, 0.914431930539498, 0.5305494046041213, 1.0105868435353424, 0.9644632829682688]","[0.15114141834719105, 0.04827642220263118, 0.13798419710002027, 0.031740077935975816, 0.1869060247267344]",10000,60000,"[1.2786981871789238, 0.6368892002101794, 0.609988803821848, 1.40436179116465, 0.9681321957147612]",2223,"[2000, 2000, 2000, 2000, 2000]",0,"[0.7378989593022859, 1.0617068548465836, 0.5005003257342616, 1.4013365568297134, 0.5972219224567723]",207.349175777,0.0971,249.64320397377017,{'runtime': 248},235.972679524,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696446669.969973,10000,14,28.62346283
85,6,"[1, 1, 1, 1, 1, 1]","[1.3500489321464713, 0.7947495021630175, 0.6470851210151264, 0.9876490112670928, 1.0067223191852794, 1.4643175539235167]","[0.05262540764365689, 0.10229675525518236, 0.12376940967424016, 0.13782203514300306, 0.15102822123240073, 0.06503853790783268]",12000,60000,"[0.6353586013066229, 1.2679384939592997, 1.291237336100802, 0.7689618155152884, 1.386327940781556, 0.5558460678733647]",6500,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.0053954588719876, 0.6493642058068817, 1.173378607985884, 0.8348865097585253, 1.2339883129900322, 0.6157910596706531]",242.046158397,0.1088,294.2856504917145,{'runtime': 293},278.446916152,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696446415.8709254,10000,14,36.400683175
86,7,"[1, 1, 1, 1, 1, 1, 1]","[1.4301285242474644, 0.7611016702286326, 1.2349277914350425, 0.6464246010835902, 0.8070944571953955, 0.607990040028102, 1.415016407245444]","[0.1064873531113912, 0.01549945918824898, 0.03812003603800391, 0.1414859128729555, 0.020357996895587288, 0.11247931715936124, 0.05814066174071989]",14000,60000,"[1.019836665894971, 0.5134106412698842, 0.9275292301658832, 1.115942880606444, 0.7922473308926202, 1.0975474424120886, 1.1028477973366948]",8019,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.2974677072046124, 0.7705620279988307, 0.7861291786864721, 0.5986892125546371, 1.2067834017023134, 1.2146403212293495, 0.8481183428334559]",282.482973564,0.1208,341.4470684528351,{'runtime': 340},324.010476894,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696446117.2474644,10000,14,41.527461842
87,8,"[1, 1, 1, 1, 1, 1, 1, 1]","[1.0306588823528997, 1.2367781956537018, 1.4034730776195583, 1.0870853211573488, 0.6737283352055129, 0.9394113162208932, 0.7681578151299053, 1.12676563186481]","[0.04967312442022966, 0.15340174432459275, 0.08519622202324055, 0.06617167814041722, 0.12182782561845004, 0.1643152147714758, 0.11267597714893292, 0.08483653677362986]",16000,60000,"[1.097351641786827, 0.5128856826308253, 0.6871262549547407, 1.285842650303508, 1.4223071881842066, 0.9104411867829196, 1.074265106367296, 0.8857205373303978]",4626,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.8881240475285478, 1.3355156008440927, 0.5652310487065072, 0.8998729607175097, 1.4996430999694146, 0.8538060789052305, 0.6002149541840929, 1.1300900695473246]",320.210947685,0.1245,386.9755783081054,{'runtime': 385},368.267877417,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696445770.9529552,10000,14,48.056888594
88,9,"[1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.8390070102000919, 0.9898029714541392, 1.11472028403518, 0.8937532998012967, 0.968216964279737, 0.599350785740647, 0.7435096767192806, 1.4529482270535603, 1.373592907069524]","[0.0897007202411925, 0.14951460651227025, 0.17409406824181647, 0.1769375782636282, 0.17589069332480264, 0.15340001635023748, 0.19187652185138904, 0.13672728058704872, 0.041343447210294405]",18000,60000,"[0.9869399313300896, 1.0855411517661453, 1.1109495429985323, 0.8336047025484625, 0.8471959393489497, 0.8505107411535835, 0.7300705959472351, 0.7194042900051482, 1.372211149179075]",8406,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.4214677585842468, 1.251288413917333, 0.9388803125118832, 0.8675092748380108, 1.3428813380168068, 0.8752403018986564, 1.1836921544005494, 0.759024249669146, 0.5705412204425957]",349.899471973,0.1286,423.865686416626,{'runtime': 422},402.432168457,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696445379.8297515,10000,14,52.53262583
89,10,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0.9682045579248676, 0.7910644619266157, 1.2157123507803496, 0.7716780938848581, 0.5840637805089551, 0.5407646104313895, 1.231030099375229, 0.9161923256615784, 1.054507654329144, 1.0104395508682849]","[0.013020465477449904, 0.17066546455854628, 0.15542525120400033, 0.1563319167516222, 0.0975157598709758, 0.180573245804384, 0.046445166110611995, 0.145014696968118, 0.1401057007962424, 0.15139030547929147]",20000,60000,"[0.7231395364258338, 0.9817914350252052, 0.828978137326018, 0.8651447174418022, 0.8772257034684157, 0.9671928449007804, 0.5671315598025847, 1.1604606789028005, 0.8840363616765136, 1.418763841258052]",6866,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.3343557222136957, 1.2556292655150902, 1.1878131069122877, 1.2370198027456445, 0.910189163635906, 1.3334745521516675, 0.8294476965103386, 0.6300835487969841, 0.7089314151853499, 0.8972015801962443]",377.183687197,0.1288,464.6510524749756,{'runtime': 463},433.946221181,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696444951.9505465,10000,14,56.76248939
90,1,1,1.1159196850922843,0.18822804608003588,2000,60000,0.5306902020809678,7246,2000,0,1.159861522443138,88.972752383,0.0342,100.7085783481598,{'runtime': 99},96.728208713,1,['<PyCall.jlwrap tanh>'],1696444483.6269114,10000,14,7.755413179
91,2,"[1, 1]","[1.2794777164402598, 0.8511061040612247]","[0.050371867963737146, 0.13682450964265608]",4000,60000,"[1.233424882480698, 1.4234607798879946]",4526,"[2000, 2000]",0,"[1.2305634493093316, 0.8877400900834744]",115.079030217,0.0488,134.19536066055298,{'runtime': 132},127.525625902,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696444378.3686855,10000,14,12.446552963
92,3,"[1, 1, 1]","[1.2918924275200383, 0.5262239101164615, 0.9910298596739012]","[0.04365041934989176, 0.10117818258667108, 0.1980103403408169]",6000,60000,"[0.5315825215737936, 0.7703850861643072, 0.514491894194123]",3548,"[2000, 2000, 2000]",0,"[1.4202396313746584, 0.5024597284387439, 1.4754158438800142]",143.166589563,0.0653,170.02570486068726,{'runtime': 168},160.438680174,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696444239.5133648,10000,14,17.272020459
93,4,"[1, 1, 1, 1]","[0.8583761524138112, 0.8828282692810263, 0.7815014243558545, 0.6156277315269232]","[0.19982459552764492, 0.14023812236449404, 0.15056459688314605, 0.057782534719351714]",8000,60000,"[0.913230779378133, 0.8672176434687151, 0.9067209389014956, 0.6384259953131007]",4804,"[2000, 2000, 2000, 2000]",0,"[0.8588560035237311, 1.3901964196179215, 1.0924765041535698, 1.2346955781976023]",174.893484916,0.0758,210.0545415878296,{'runtime': 208},197.688164919,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696444064.5972376,10000,14,22.794604711
94,5,"[1, 1, 1, 1, 1]","[0.6326629535360615, 1.212158808513592, 0.6160903353459326, 0.9386010133970478, 0.6162297847931523]","[0.10650736636755302, 0.18904951638857828, 0.10353698084501488, 0.1802013614955288, 0.016088165023090274]",10000,60000,"[0.9974467308484628, 1.2178472911246274, 0.679805991181146, 0.6037599387824139, 0.7054093109162812]",180,"[2000, 2000, 2000, 2000, 2000]",0,"[1.0476906367637937, 1.0927107709491517, 0.5963754448036802, 1.3514272800790277, 0.8635176853212584]",206.103825336,0.0928,250.08860087394712,{'runtime': 248},235.447858952,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696443849.839943,10000,14,29.343990635
95,6,"[1, 1, 1, 1, 1, 1]","[0.5561323334566237, 1.2954436370587017, 0.8106438537544541, 0.8490110550585049, 1.2407002190816183, 0.8837050982865012]","[0.06013721249863653, 0.050973234774188865, 0.1431342479260622, 0.1606828506069296, 0.05591671158029052, 0.1621500030172249]",12000,60000,"[1.0159973230974826, 0.8769514097627842, 0.6248555743750493, 1.099268536373362, 0.5529134420377202, 1.3360969511775609]",5510,"[2000, 2000, 2000, 2000, 2000, 2000]",0,"[0.8592881686072905, 1.3531934560782504, 0.5421061167734865, 0.6581113181282875, 0.8347336548944901, 1.080287267648666]",245.286013836,0.1057,297.4064190387726,{'runtime': 296},281.459425815,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696443595.406239,10000,14,36.173337409
96,7,"[1, 1, 1, 1, 1, 1, 1]","[0.5157227411766522, 1.2554359541613256, 0.9780076423719712, 0.879434344028498, 1.2526959167714689, 0.9351741675615454, 0.8721319207895978]","[0.03426302128335809, 0.14987944032704278, 0.04831601874937091, 0.07966753456366348, 0.10778425301107968, 0.09609025091830664, 0.02636371762409881]",14000,60000,"[1.0723030077515991, 1.2670434911733306, 0.5888344767565895, 0.5288072418077652, 1.072915035075043, 1.2107890952239375, 1.1526403391402067]",527,"[2000, 2000, 2000, 2000, 2000, 2000, 2000]",0,"[1.0370647919096667, 1.2474065526304017, 0.8001503123912028, 0.8835204277360542, 0.8062799833462769, 0.5266975457000616, 1.2535964193473117]",282.486088999,0.1149,342.1580243110657,{'runtime': 340},325.621084609,1,"['<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>', '<PyCall.jlwrap tanh>']",1696443293.2479794,10000,14,43.134953481
