,rhos,seed,sgmds,Initial transient,Test time,Nodes per layer,Error,Layers,_wandb,Resized,_runtime,Train length,_step,alphas,densities,Total time,Test length,sigmas,R_scalings,Train time,_timestamp,Total nodes
24,"[0.9547942120714432, 0.8161958611906249, 1.1013973919721662, 0.9385091879671784, 1.2907963425814175, 0.9061223169501056, 1.0134441648752657, 1.1328779013587047, 0.5798800527096025, 0.6902434259155962]",1422,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,657.486450724,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1321,10,{'runtime': 5314},14,5315.834775209427,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.1430677400849198, 0.03506615511861947, 0.05162759613419405, 0.13189737500470156, 0.14138424359749802, 0.09437133695642232, 0.04863127697901446, 0.07898208510576607, 0.15483725122148934, 0.19866754064156456]",5303.811706468,10000,"[0.6262929741453848, 1.446886920107633, 0.5749722108984676, 1.2038270714501669, 0.7486612607089158, 0.6867284358519209, 0.7893037962242531, 1.1581988863772992, 1.0401725051131012, 1.2019779839058202]","[1.4024784279945746, 1.4013316369127855, 1.117848081467598, 1.458065696075162, 1.4739090469497174, 0.5667093107333069, 1.3980609115243012, 1.4563814899780798, 0.7010245121037136, 1.2165445517265507]",4646.325203374,1705467726.8223422,20000
25,[0.9752923746677769],7848,['tanh'],2,17.443049823,[2000],0.1339,1,{'runtime': 130},14,131.5224690437317,60000,1,[0.7],[0.10061634922860876],128.678583536,10000,[1.272946148605456],[1.2046645742547124],111.235482143,1705462407.952663,2000
26,"[0.693974100005245, 0.5091752422671219, 0.8009136706040157]",1513,"['tanh', 'tanh', 'tanh']",2,180.308798179,"[2000, 2000, 2000]",0.1288,3,{'runtime': 1315},14,1316.250685453415,60000,1,"[0.7, 0.7, 0.7]","[0.16525896297300216, 0.023319232912605823, 0.1119877426985589]",1311.263622676,10000,"[1.4096397763136044, 1.2737669237438185, 0.9984957692338235]","[1.0840423468388236, 1.2077076148039287, 1.114558340035098]",1130.954769767,1705462273.1873014,6000
27,"[0.8394639784483992, 1.0926710390932812, 1.4986836111435655, 0.8772012936755539, 0.7482103924895399]",7759,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,316.940118758,"[2000, 2000, 2000, 2000, 2000]",0.1227,5,{'runtime': 2386},14,2387.250736951828,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.01039032984523186, 0.1829332588380434, 0.13306800021285167, 0.04876077573660494, 0.049256336979515425]",2380.460241403,10000,"[0.6928265564206653, 0.660441648030095, 0.9393207126518126, 1.0520480181958192, 1.2113164483065335]","[0.8121292276205546, 1.492717233413079, 0.7084841720180342, 0.9896188529299528, 0.6450192596198041]",2063.520069825,1705460949.9303749,10000
28,"[0.6561166807185238, 1.3390711477126769, 1.4725922632384656, 1.1891024080231714, 1.0254735637444214, 0.5622374037802127, 0.9213986012442752, 1.133167287189868]",6374,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,530.376130159,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1356,8,{'runtime': 4142},14,4143.49751663208,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.14186482365038988, 0.052615313861868976, 0.1636840459561572, 0.19029895457273743, 0.012764900970913238, 0.15513521450590223, 0.1364211343759289, 0.07750395713494276]",4133.585541421,10000,"[1.4655770211345414, 1.2233454225903264, 0.515246764420645, 0.7871113620270869, 0.8523152328636575, 1.385558015981971, 0.701318327913829, 1.2026996266031569]","[0.8360872123165772, 1.436155009081892, 1.2401056751197856, 0.9038766541162012, 0.8034335683245863, 0.5210819920092451, 1.238439677495073, 1.2643411524680237]",3603.209357612,1705458559.4978397,16000
29,"[0.5696852142668883, 1.0338893013314792, 1.1389577640529307, 1.319416618463355, 1.4588444578418536, 1.4772505583721696, 1.4032640459758512, 1.1640213668433583, 0.6715340196553752, 0.5640733676006244]",891,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,669.405934071,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1368,10,{'runtime': 5384},14,5385.743701219559,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.17377372066275315, 0.02387042998812546, 0.07719369098291026, 0.03635098959918085, 0.1528739802965007, 0.1410189093891992, 0.1261067954617101, 0.06697686579795659, 0.046561431139305255, 0.19710739707856287]",5373.876708144,10000,"[1.02678631295556, 0.6411008209027306, 0.9917320285309192, 1.0668936944021468, 0.8118876025163454, 1.1745563821137877, 0.7098186048876325, 1.2814117162504202, 1.3626011075145148, 0.8942547003040764]","[0.825625943237807, 0.8734946686777696, 1.4064400706212767, 0.5061825109469271, 1.2615535723995948, 1.2159302630107032, 1.2962901982031385, 1.300816687677246, 1.1852426108225544, 1.484867239892916]",4704.470720383,1705454412.5201771,20000
30,[1.3104380325971654],6733,['tanh'],2,18.932312569,[2000],0.1346,1,{'runtime': 138},14,139.87128281593323,60000,1,[0.7],[0.1191986282647053],136.979737774,10000,[1.0362025132823915],[1.183474421062921],118.047372135,1705449022.949931,2000
31,"[1.076546524342052, 1.4715114428469391, 1.4500310190129344]",8958,"['tanh', 'tanh', 'tanh']",2,178.505080313,"[2000, 2000, 2000]",0.1233,3,{'runtime': 1306},14,1310.605591058731,60000,1,"[0.7, 0.7, 0.7]","[0.05090627224639809, 0.08813168292453674, 0.19832761071091515]",1302.769835486,10000,"[0.5003080653939926, 0.7037061344956017, 1.269209857179297]","[1.2278035997000925, 1.3277882385386706, 0.6422624078974586]",1124.264702193,1705448879.716689,6000
32,"[0.520360741072411, 0.7851643599632878, 1.084527353251051, 1.323748283848941, 0.7752997342225986]",5815,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,316.328305735,"[2000, 2000, 2000, 2000, 2000]",0.13,5,{'runtime': 2383},14,2384.352193593979,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7]","[0.19115016018164355, 0.14184361890330263, 0.11182380172678329, 0.15332679663895094, 0.14946569459053638]",2377.248110376,10000,"[1.159088294487321, 1.3890667758255817, 0.7878281702955237, 0.9289188204426498, 1.1151650686283343]","[0.5213288293720159, 1.422457473228008, 0.877611350946914, 0.7722628727173998, 0.7688987187827222]",2060.919744431,1705447565.1922526,10000
33,"[0.5023620077536325, 1.306850745504044, 1.04719175935521, 0.6341135038715029, 0.6769887822175532, 1.453532158716476, 0.5166427900508506, 0.6448663654321106]",4292,"['tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh']",2,540.64374513,"[2000, 2000, 2000, 2000, 2000, 2000, 2000, 2000]",0.1299,8,{'runtime': 4190},14,4191.84006357193,60000,1,"[0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7, 0.7]","[0.09531930751568396, 0.19687912427426835, 0.11892783284120556, 0.14094170836664613, 0.1828293034993429, 0.15678303661102186, 0.1855979791122668, 0.12570990767505652]",4181.804311824,10000,"[0.7734255960735774, 0.8272396294354261, 0.5835797774409842, 1.1118828070779738, 1.458288648524391, 0.7871169830749314, 0.6432902875704909, 1.4200593813178637]","[0.9530342949999124, 1.0067110788391869, 1.3951166645117752, 0.5798675456127487, 0.959560110414808, 0.5487843340430837, 1.4626492823944648, 0.670933021604833]",3641.160510534,1705445177.1801736,16000
